,ID,Comments,CommentsTokenized
359,884,He hated the phone. Claims that the reception is horrible in many parts of the metropolitian area.,"['He', 'hated', 'the', 'phone', '.', 'Claims', 'that', 'the', 'reception', 'is', 'horrible', 'in', 'many', 'parts', 'of', 'the', 'metropolitian', 'area', '.']"
360,1620,Really wants the new phone from XVYX which has the PDA built in.,"['Really', 'wants', 'the', 'new', 'phone', 'from', 'XVYX', 'which', 'has', 'the', 'PDA', 'built', 'in', '.']"
361,1821,Does not like the way the phone works. It is to difficult compared to his last phone.,"['Does', 'not', 'like', 'the', 'way', 'the', 'phone', 'works', '.', 'It', 'is', 'to', 'difficult', 'compared', 'to', 'his', 'last', 'phone', '.']"
362,2664,Wanted to know the nearest store location. Wants to buy additional accessories.,"['Wanted', 'to', 'know', 'the', 'nearest', 'store', 'location', '.', 'Wants', 'to', 'buy', 'additional', 'accessories', '.']"
363,660,Needs help with basic phone usage. I suggested he go back to the store and ask for some help.,"['Needs', 'help', 'with', 'basic', 'phone', 'usage', '.', 'I', 'suggested', 'he', 'go', 'back', 'to', 'the', 'store', 'and', 'ask', 'for', 'some', 'help', '.']"
364,455,Called about new plan. Might switch soon. Wants more minutes.,"['Called', 'about', 'new', 'plan', '.', 'Might', 'switch', 'soon', '.', 'Wants', 'more', 'minutes', '.']"
365,1991,Called about new plan. Might switch soon. Wants more minutes.,"['Called', 'about', 'new', 'plan', '.', 'Might', 'switch', 'soon', '.', 'Wants', 'more', 'minutes', '.']"
366,1783,The clearity of the calls was bad. Way too much static on the handset.,"['The', 'clearity', 'of', 'the', 'calls', 'was', 'bad', '.', 'Way', 'too', 'much', 'static', 'on', 'the', 'handset', '.']"
367,2277,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.,"['Needs', 'help', 'learning', 'how', 'to', 'use', 'the', 'phone', '.', 'I', 'suggested', 'he', 'go', 'back', 'to', 'the', 'store', 'and', 'have', 'the', 'rep', 'teach', 'him', '.']"
368,3068,Wanted to know the nearest store location. Wants to buy additional accessories.,"['Wanted', 'to', 'know', 'the', 'nearest', 'store', 'location', '.', 'Wants', 'to', 'buy', 'additional', 'accessories', '.']"
369,372,He hated the phone. Claims that the reception is horrible in many parts of the metropolitian area.,"['He', 'hated', 'the', 'phone', '.', 'Claims', 'that', 'the', 'reception', 'is', 'horrible', 'in', 'many', 'parts', 'of', 'the', 'metropolitian', 'area', '.']"
370,2911,Wants information on our Internet service. Referred him to web site.,"['Wants', 'information', 'on', 'our', 'Internet', 'service', '.', 'Referred', 'him', 'to', 'web', 'site', '.']"
371,3140,Needed help figuring out his bill. I explained our minute charges.,"['Needed', 'help', 'figuring', 'out', 'his', 'bill', '.', 'I', 'explained', 'our', 'minute', 'charges', '.']"
372,832,He claimed that the charger never really worked very well. As a result the phone was always dying on him. He could not wait to get out of his current contract.,"['He', 'claimed', 'that', 'the', 'charger', 'never', 'really', 'worked', 'very', 'well', '.', 'As', 'a', 'result', 'the', 'phone', 'was', 'always', 'dying', 'on', 'him', '.', 'He', 'could', 'not', 'wait', 'to', 'get', 'out', 'of', 'his', 'current', 'contract', '.']"
373,2505,Wants to change rate plans to get family all on same bill. I transferred him to customer care.,"['Wants', 'to', 'change', 'rate', 'plans', 'to', 'get', 'family', 'all', 'on', 'same', 'bill', '.', 'I', 'transferred', 'him', 'to', 'customer', 'care', '.']"
374,910,Wants to know how to do text messaging. Referred him to web site.,"['Wants', 'to', 'know', 'how', 'to', 'do', 'text', 'messaging', '.', 'Referred', 'him', 'to', 'web', 'site', '.']"
375,2189,Wants to know how to do text messaging. Referred him to web site.,"['Wants', 'to', 'know', 'how', 'to', 'do', 'text', 'messaging', '.', 'Referred', 'him', 'to', 'web', 'site', '.']"
376,3526,Really is unhappy with the website. Claims the self service stuff does not work.,"['Really', 'is', 'unhappy', 'with', 'the', 'website', '.', 'Claims', 'the', 'self', 'service', 'stuff', 'does', 'not', 'work', '.']"
377,1791,I wished the handset was bigger. It is uncomfortable using the handset for a long time.,"['I', 'wished', 'the', 'handset', 'was', 'bigger', '.', 'It', 'is', 'uncomfortable', 'using', 'the', 'handset', 'for', 'a', 'long', 'time', '.']"
378,2599,Said his battery never has worked well. Wants a new phone ASAP.,"['Said', 'his', 'battery', 'never', 'has', 'worked', 'well', '.', 'Wants', 'a', 'new', 'phone', 'ASAP', '.']"
379,3123,Wanted to know the nearest store location. Wants to buy additional accessories.,"['Wanted', 'to', 'know', 'the', 'nearest', 'store', 'location', '.', 'Wants', 'to', 'buy', 'additional', 'accessories', '.']"
380,3280,Needed help figuring out his bill. I explained our minute charges.,"['Needed', 'help', 'figuring', 'out', 'his', 'bill', '.', 'I', 'explained', 'our', 'minute', 'charges', '.']"
381,2962,Wants to know how to do text messaging. Referred him to web site.,"['Wants', 'to', 'know', 'how', 'to', 'do', 'text', 'messaging', '.', 'Referred', 'him', 'to', 'web', 'site', '.']"
382,104,Cant get his call forwarding to work. I should him how and how to get a couple of other features to work. I also pointed him to the web site.,"['Cant', 'get', 'his', 'call', 'forwarding', 'to', 'work', '.', 'I', 'should', 'him', 'how', 'and', 'how', 'to', 'get', 'a', 'couple', 'of', 'other', 'features', 'to', 'work', '.', 'I', 'also', 'pointed', 'him', 'to', 'the', 'web', 'site', '.']"
383,1498,Needed help figuring out his bill. I explained our minute charges.,"['Needed', 'help', 'figuring', 'out', 'his', 'bill', '.', 'I', 'explained', 'our', 'minute', 'charges', '.']"
384,3269,Called about new plan. Might switch soon. Wants more minutes.,"['Called', 'about', 'new', 'plan', '.', 'Might', 'switch', 'soon', '.', 'Wants', 'more', 'minutes', '.']"
385,2678,Wants a new number because he keeps on getting calls for a Mr. Napeleon Leroy.,"['Wants', 'a', 'new', 'number', 'because', 'he', 'keeps', 'on', 'getting', 'calls', 'for', 'a', 'Mr.', 'Napeleon', 'Leroy', '.']"
386,1160,Getting really bad reception with his handset. Hopes this will improve in the near future. Wants to know if this would improve if he switched to 3g.,"['Getting', 'really', 'bad', 'reception', 'with', 'his', 'handset', '.', 'Hopes', 'this', 'will', 'improve', 'in', 'the', 'near', 'future', '.', 'Wants', 'to', 'know', 'if', 'this', 'would', 'improve', 'if', 'he', 'switched', 'to', '3g', '.']"
387,3329,Asked how to disable call waiting. referred him to web site.,"['Asked', 'how', 'to', 'disable', 'call', 'waiting', '.', 'referred', 'him', 'to', 'web', 'site', '.']"
388,3800,Wanted to know the nearest store location. Wants to buy additional accessories.,"['Wanted', 'to', 'know', 'the', 'nearest', 'store', 'location', '.', 'Wants', 'to', 'buy', 'additional', 'accessories', '.']"
389,1639,Cant get his call forwarding to work. I should him how and how to get a couple of other features to work. I also pointed him to the web site.,"['Cant', 'get', 'his', 'call', 'forwarding', 'to', 'work', '.', 'I', 'should', 'him', 'how', 'and', 'how', 'to', 'get', 'a', 'couple', 'of', 'other', 'features', 'to', 'work', '.', 'I', 'also', 'pointed', 'him', 'to', 'the', 'web', 'site', '.']"
390,1955,Asked about how to change his ring tones. Referred him to web site.,"['Asked', 'about', 'how', 'to', 'change', 'his', 'ring', 'tones', '.', 'Referred', 'him', 'to', 'web', 'site', '.']"
391,1353,Said his battery never has worked well. Wants a new phone ASAP.,"['Said', 'his', 'battery', 'never', 'has', 'worked', 'well', '.', 'Wants', 'a', 'new', 'phone', 'ASAP', '.']"
392,195,He wanted credit for all these dropped calls. I told him I would pass him onto a supervisor. He was really rude and very upset. Said he could not use us for business purposes because of our useless service.,"['He', 'wanted', 'credit', 'for', 'all', 'these', 'dropped', 'calls', '.', 'I', 'told', 'him', 'I', 'would', 'pass', 'him', 'onto', 'a', 'supervisor', '.', 'He', 'was', 'really', 'rude', 'and', 'very', 'upset', '.', 'Said', 'he', 'could', 'not', 'use', 'us', 'for', 'business', 'purposes', 'because', 'of', 'our', 'useless', 'service', '.']"
393,1138,Wants to add additional lines for family. Needs more info on rates.,"['Wants', 'to', 'add', 'additional', 'lines', 'for', 'family', '.', 'Needs', 'more', 'info', 'on', 'rates', '.']"
394,622,Wants to change address.,"['Wants', 'to', 'change', 'address', '.']"
395,206,Wants to add another phone. Contacting provisioning.,"['Wants', 'to', 'add', 'another', 'phone', '.', 'Contacting', 'provisioning', '.']"
396,1370,He complained about receiving outbound calls to his cell from our marketing people. He says that we have sold his personal information and he is on numerous lists. He said that if we continued to do this he would get rid of the service.,"['He', 'complained', 'about', 'receiving', 'outbound', 'calls', 'to', 'his', 'cell', 'from', 'our', 'marketing', 'people', '.', 'He', 'says', 'that', 'we', 'have', 'sold', 'his', 'personal', 'information', 'and', 'he', 'is', 'on', 'numerous', 'lists', '.', 'He', 'said', 'that', 'if', 'we', 'continued', 'to', 'do', 'this', 'he', 'would', 'get', 'rid', 'of', 'the', 'service', '.']"
397,2554,Wants to get an additional line working by the end of the week. Forwarded him on to customer care.,"['Wants', 'to', 'get', 'an', 'additional', 'line', 'working', 'by', 'the', 'end', 'of', 'the', 'week', '.', 'Forwarded', 'him', 'on', 'to', 'customer', 'care', '.']"
398,673,"He says that we keep sending him the bill to the wrong address. We have his correct billing address. I don’t know why he is not getting it. He was very angry that we shut his service off for not paying. I offered to take a CC, but he was unwilling to do s","['He', 'says', 'that', 'we', 'keep', 'sending', 'him', 'the', 'bill', 'to', 'the', 'wrong', 'address', '.', 'We', 'have', 'his', 'correct', 'billing', 'address', '.', 'I', 'don', '’', 't', 'know', 'why', 'he', 'is', 'not', 'getting', 'it', '.', 'He', 'was', 'very', 'angry', 'that', 'we', 'shut', 'his', 'service', 'off', 'for', 'not', 'paying', '.', 'I', 'offered', 'to', 'take', 'a', 'CC', ',', 'but', 'he', 'was', 'unwilling', 'to', 'do', 's']"
399,1702,He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.,"['He', 'lost', 'his', 'phone', 'and', 'called', 'to', 'cancel', 'service', '.', 'I', 'told', 'him', 'we', 'would', 'suspend', 'until', 'we', 'hear', 'back', 'from', 'him', '.', 'He', 'will', 'contact', 'us', 'soon', '.']"
400,534,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.,"['Needs', 'help', 'learning', 'how', 'to', 'use', 'the', 'phone', '.', 'I', 'suggested', 'he', 'go', 'back', 'to', 'the', 'store', 'and', 'have', 'the', 'rep', 'teach', 'him', '.']"
401,456,Called about new plan. Might switch soon. Wants more minutes.,"['Called', 'about', 'new', 'plan', '.', 'Might', 'switch', 'soon', '.', 'Wants', 'more', 'minutes', '.']"
402,2946,Wanted to know the nearest store location. Wants to buy additional accessories.,"['Wanted', 'to', 'know', 'the', 'nearest', 'store', 'location', '.', 'Wants', 'to', 'buy', 'additional', 'accessories', '.']"
403,441,Wants to change rate plans to get family all on same bill. I transferred him to customer care.,"['Wants', 'to', 'change', 'rate', 'plans', 'to', 'get', 'family', 'all', 'on', 'same', 'bill', '.', 'I', 'transferred', 'him', 'to', 'customer', 'care', '.']"
404,1479,Called about new plan. Might switch soon. Wants more minutes.,"['Called', 'about', 'new', 'plan', '.', 'Might', 'switch', 'soon', '.', 'Wants', 'more', 'minutes', '.']"
405,2158,I wished the handset was bigger. It is uncomfortable using the handset for a long time.,"['I', 'wished', 'the', 'handset', 'was', 'bigger', '.', 'It', 'is', 'uncomfortable', 'using', 'the', 'handset', 'for', 'a', 'long', 'time', '.']"
406,2573,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.,"['Needs', 'help', 'learning', 'how', 'to', 'use', 'the', 'phone', '.', 'I', 'suggested', 'he', 'go', 'back', 'to', 'the', 'store', 'and', 'have', 'the', 'rep', 'teach', 'him', '.']"
407,2050,Asked about how to change his ring tones. Referred him to web site.,"['Asked', 'about', 'how', 'to', 'change', 'his', 'ring', 'tones', '.', 'Referred', 'him', 'to', 'web', 'site', '.']"
408,2504,Wants to change rate plans to get family all on same bill. I transferred him to customer care.,"['Wants', 'to', 'change', 'rate', 'plans', 'to', 'get', 'family', 'all', 'on', 'same', 'bill', '.', 'I', 'transferred', 'him', 'to', 'customer', 'care', '.']"
409,1164,He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.,"['He', 'lost', 'his', 'phone', 'and', 'called', 'to', 'cancel', 'service', '.', 'I', 'told', 'him', 'we', 'would', 'suspend', 'until', 'we', 'hear', 'back', 'from', 'him', '.', 'He', 'will', 'contact', 'us', 'soon', '.']"
410,218,I needed a handset which also functioned as a PDA. You did not offer such a model.,"['I', 'needed', 'a', 'handset', 'which', 'also', 'functioned', 'as', 'a', 'PDA', '.', 'You', 'did', 'not', 'offer', 'such', 'a', 'model', '.']"
411,3559,Asked about how to change his ring tones. Referred him to web site.,"['Asked', 'about', 'how', 'to', 'change', 'his', 'ring', 'tones', '.', 'Referred', 'him', 'to', 'web', 'site', '.']"
412,2711,Wants to know how to do text messaging. Referred him to web site.,"['Wants', 'to', 'know', 'how', 'to', 'do', 'text', 'messaging', '.', 'Referred', 'him', 'to', 'web', 'site', '.']"
413,2102,Wanted to know the nearest store location. Wants to buy additional accessories.,"['Wanted', 'to', 'know', 'the', 'nearest', 'store', 'location', '.', 'Wants', 'to', 'buy', 'additional', 'accessories', '.']"
414,238,Wanted to know the nearest store location. Wants to buy additional accessories.,"['Wanted', 'to', 'know', 'the', 'nearest', 'store', 'location', '.', 'Wants', 'to', 'buy', 'additional', 'accessories', '.']"
415,3591,He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.,"['He', 'lost', 'his', 'phone', 'and', 'called', 'to', 'cancel', 'service', '.', 'I', 'told', 'him', 'we', 'would', 'suspend', 'until', 'we', 'hear', 'back', 'from', 'him', '.', 'He', 'will', 'contact', 'us', 'soon', '.']"
416,3573,Asked how to disable call waiting. referred him to web site.,"['Asked', 'how', 'to', 'disable', 'call', 'waiting', '.', 'referred', 'him', 'to', 'web', 'site', '.']"
417,3281,Needed help figuring out his bill. I explained our minute charges.,"['Needed', 'help', 'figuring', 'out', 'his', 'bill', '.', 'I', 'explained', 'our', 'minute', 'charges', '.']"
418,1296,The reception near his home is really horrible. He knows exactly when his calls will drop. He wants to know what we are going to do to fix this? He says that if we do not fix it he will go to a different cell company and since we can not keep our end of t,"['The', 'reception', 'near', 'his', 'home', 'is', 'really', 'horrible', '.', 'He', 'knows', 'exactly', 'when', 'his', 'calls', 'will', 'drop', '.', 'He', 'wants', 'to', 'know', 'what', 'we', 'are', 'going', 'to', 'do', 'to', 'fix', 'this', '?', 'He', 'says', 'that', 'if', 'we', 'do', 'not', 'fix', 'it', 'he', 'will', 'go', 'to', 'a', 'different', 'cell', 'company', 'and', 'since', 'we', 'can', 'not', 'keep', 'our', 'end', 'of', 't']"
419,2660,Wanted to know the nearest store location. Wants to buy additional accessories.,"['Wanted', 'to', 'know', 'the', 'nearest', 'store', 'location', '.', 'Wants', 'to', 'buy', 'additional', 'accessories', '.']"
420,1114,He expected significantly better Technical Support.,"['He', 'expected', 'significantly', 'better', 'Technical', 'Support', '.']"
421,3681,I expected significantly better Technical Support.,"['I', 'expected', 'significantly', 'better', 'Technical', 'Support', '.']"
422,2234,Wants to change rate plans to get family all on same bill. I transferred him to customer care.,"['Wants', 'to', 'change', 'rate', 'plans', 'to', 'get', 'family', 'all', 'on', 'same', 'bill', '.', 'I', 'transferred', 'him', 'to', 'customer', 'care', '.']"
423,464,Wants to change address.,"['Wants', 'to', 'change', 'address', '.']"
424,2960,Wanted more information on the family plan. Also asked about how he could use call screening.,"['Wanted', 'more', 'information', 'on', 'the', 'family', 'plan', '.', 'Also', 'asked', 'about', 'how', 'he', 'could', 'use', 'call', 'screening', '.']"
425,2083,Cant get his call forwarding to work. I should him how and how to get a couple of other features to work. I also pointed him to the web site.,"['Cant', 'get', 'his', 'call', 'forwarding', 'to', 'work', '.', 'I', 'should', 'him', 'how', 'and', 'how', 'to', 'get', 'a', 'couple', 'of', 'other', 'features', 'to', 'work', '.', 'I', 'also', 'pointed', 'him', 'to', 'the', 'web', 'site', '.']"
426,2550,Wanted to know the nearest store location. Wants to buy additional accessories.,"['Wanted', 'to', 'know', 'the', 'nearest', 'store', 'location', '.', 'Wants', 'to', 'buy', 'additional', 'accessories', '.']"
427,3053,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.,"['Needs', 'help', 'learning', 'how', 'to', 'use', 'the', 'phone', '.', 'I', 'suggested', 'he', 'go', 'back', 'to', 'the', 'store', 'and', 'have', 'the', 'rep', 'teach', 'him', '.']"
428,3657,Wanted to know the nearest store location. Wants to buy additional accessories.,"['Wanted', 'to', 'know', 'the', 'nearest', 'store', 'location', '.', 'Wants', 'to', 'buy', 'additional', 'accessories', '.']"
429,389,Wants to know how to do text messaging. Referred him to web site.,"['Wants', 'to', 'know', 'how', 'to', 'do', 'text', 'messaging', '.', 'Referred', 'him', 'to', 'web', 'site', '.']"
430,1824,transferred to manager ASAP,"['transferred', 'to', 'manager', 'ASAP']"
431,1053,Asked how to disable call waiting. referred him to web site.,"['Asked', 'how', 'to', 'disable', 'call', 'waiting', '.', 'referred', 'him', 'to', 'web', 'site', '.']"
432,2819,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.,"['Needs', 'help', 'learning', 'how', 'to', 'use', 'the', 'phone', '.', 'I', 'suggested', 'he', 'go', 'back', 'to', 'the', 'store', 'and', 'have', 'the', 'rep', 'teach', 'him', '.']"
433,2001,Wants to change address.,"['Wants', 'to', 'change', 'address', '.']"
434,1669,He found a better rate and no contract. He said he cold not wait until his contract expired.,"['He', 'found', 'a', 'better', 'rate', 'and', 'no', 'contract', '.', 'He', 'said', 'he', 'cold', 'not', 'wait', 'until', 'his', 'contract', 'expired', '.']"
435,751,Wanted to know the nearest store location. Wants to buy additional accessories.,"['Wanted', 'to', 'know', 'the', 'nearest', 'store', 'location', '.', 'Wants', 'to', 'buy', 'additional', 'accessories', '.']"
436,2925,Wanted to know the nearest store location. Wants to buy additional accessories.,"['Wanted', 'to', 'know', 'the', 'nearest', 'store', 'location', '.', 'Wants', 'to', 'buy', 'additional', 'accessories', '.']"
437,3367,Wanted to know the nearest store location. Wants to buy additional accessories.,"['Wanted', 'to', 'know', 'the', 'nearest', 'store', 'location', '.', 'Wants', 'to', 'buy', 'additional', 'accessories', '.']"
438,2235,Wants to change rate plans to get family all on same bill. I transferred him to customer care.,"['Wants', 'to', 'change', 'rate', 'plans', 'to', 'get', 'family', 'all', 'on', 'same', 'bill', '.', 'I', 'transferred', 'him', 'to', 'customer', 'care', '.']"
439,3242,Asked about how to change his ring tones. Referred him to web site.,"['Asked', 'about', 'how', 'to', 'change', 'his', 'ring', 'tones', '.', 'Referred', 'him', 'to', 'web', 'site', '.']"
440,2600,Wants to add additional lines for family. Needs more info on rates.,"['Wants', 'to', 'add', 'additional', 'lines', 'for', 'family', '.', 'Needs', 'more', 'info', 'on', 'rates', '.']"
441,1677,Hopes to get an additonal line working by the end of the week for his wife.,"['Hopes', 'to', 'get', 'an', 'additonal', 'line', 'working', 'by', 'the', 'end', 'of', 'the', 'week', 'for', 'his', 'wife', '.']"
442,438,Wants to know how to do text messaging. Referred him to web site.,"['Wants', 'to', 'know', 'how', 'to', 'do', 'text', 'messaging', '.', 'Referred', 'him', 'to', 'web', 'site', '.']"
443,1077,He asked for a new phone number. I referred him to customer care.,"['He', 'asked', 'for', 'a', 'new', 'phone', 'number', '.', 'I', 'referred', 'him', 'to', 'customer', 'care', '.']"
444,1822,transferred to manager ASAP,"['transferred', 'to', 'manager', 'ASAP']"
445,948,Wants to know how to do text messaging. Referred him to web site.,"['Wants', 'to', 'know', 'how', 'to', 'do', 'text', 'messaging', '.', 'Referred', 'him', 'to', 'web', 'site', '.']"
446,312,Lost the directions to phone and wants another manual. I referred him to web site.,"['Lost', 'the', 'directions', 'to', 'phone', 'and', 'wants', 'another', 'manual', '.', 'I', 'referred', 'him', 'to', 'web', 'site', '.']"
447,2391,Hopes to get an additonal line working by the end of the week for his wife.,"['Hopes', 'to', 'get', 'an', 'additonal', 'line', 'working', 'by', 'the', 'end', 'of', 'the', 'week', 'for', 'his', 'wife', '.']"
448,322,transferred to manager ASAP,"['transferred', 'to', 'manager', 'ASAP']"
449,940,Asked about how to change his ring tones. Referred him to web site.,"['Asked', 'about', 'how', 'to', 'change', 'his', 'ring', 'tones', '.', 'Referred', 'him', 'to', 'web', 'site', '.']"
450,1521,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.,"['Needs', 'help', 'learning', 'how', 'to', 'use', 'the', 'phone', '.', 'I', 'suggested', 'he', 'go', 'back', 'to', 'the', 'store', 'and', 'have', 'the', 'rep', 'teach', 'him', '.']"
451,3606,He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.,"['He', 'lost', 'his', 'phone', 'and', 'called', 'to', 'cancel', 'service', '.', 'I', 'told', 'him', 'we', 'would', 'suspend', 'until', 'we', 'hear', 'back', 'from', 'him', '.', 'He', 'will', 'contact', 'us', 'soon', '.']"
452,3654,The signal on my handset was always weak. Even when I replaced the battery.,"['The', 'signal', 'on', 'my', 'handset', 'was', 'always', 'weak', '.', 'Even', 'when', 'I', 'replaced', 'the', 'battery', '.']"
453,476,Needed help figuring out his bill. I explained our minute charges.,"['Needed', 'help', 'figuring', 'out', 'his', 'bill', '.', 'I', 'explained', 'our', 'minute', 'charges', '.']"
454,1730,Wanted to know the nearest store location. Wants to buy additional accessories.,"['Wanted', 'to', 'know', 'the', 'nearest', 'store', 'location', '.', 'Wants', 'to', 'buy', 'additional', 'accessories', '.']"
455,2926,Wanted to know the nearest store location. Wants to buy additional accessories.,"['Wanted', 'to', 'know', 'the', 'nearest', 'store', 'location', '.', 'Wants', 'to', 'buy', 'additional', 'accessories', '.']"
456,988,Needed help figuring out his bill. I explained our minute charges.,"['Needed', 'help', 'figuring', 'out', 'his', 'bill', '.', 'I', 'explained', 'our', 'minute', 'charges', '.']"
457,2174,Called to change his address and see if he could get a new number since he is moving to a different city.,"['Called', 'to', 'change', 'his', 'address', 'and', 'see', 'if', 'he', 'could', 'get', 'a', 'new', 'number', 'since', 'he', 'is', 'moving', 'to', 'a', 'different', 'city', '.']"
458,354,The battery on the phone just does not last long enough. He charges it and after a couple of calls it simply dies on him. He replaced the battery per our suggestion and he still has the same problem. He says that we should replace the whole phone.,"['The', 'battery', 'on', 'the', 'phone', 'just', 'does', 'not', 'last', 'long', 'enough', '.', 'He', 'charges', 'it', 'and', 'after', 'a', 'couple', 'of', 'calls', 'it', 'simply', 'dies', 'on', 'him', '.', 'He', 'replaced', 'the', 'battery', 'per', 'our', 'suggestion', 'and', 'he', 'still', 'has', 'the', 'same', 'problem', '.', 'He', 'says', 'that', 'we', 'should', 'replace', 'the', 'whole', 'phone', '.']"
459,506,Wanted to know the nearest store location. Wants to buy additional accessories.,"['Wanted', 'to', 'know', 'the', 'nearest', 'store', 'location', '.', 'Wants', 'to', 'buy', 'additional', 'accessories', '.']"
460,1078,I expected significantly better Technical Support.,"['I', 'expected', 'significantly', 'better', 'Technical', 'Support', '.']"
461,2612,Said his battery never has worked well. Wants a new phone ASAP.,"['Said', 'his', 'battery', 'never', 'has', 'worked', 'well', '.', 'Wants', 'a', 'new', 'phone', 'ASAP', '.']"
462,3251,Wants to know how to do text messaging. Referred him to web site.,"['Wants', 'to', 'know', 'how', 'to', 'do', 'text', 'messaging', '.', 'Referred', 'him', 'to', 'web', 'site', '.']"
463,1218,Wanted to know the nearest store location. Wants to buy additional accessories.,"['Wanted', 'to', 'know', 'the', 'nearest', 'store', 'location', '.', 'Wants', 'to', 'buy', 'additional', 'accessories', '.']"
464,3700,Wants a new faceplate.,"['Wants', 'a', 'new', 'faceplate', '.']"
465,2666,Wanted to know the nearest store location. Wants to buy additional accessories.,"['Wanted', 'to', 'know', 'the', 'nearest', 'store', 'location', '.', 'Wants', 'to', 'buy', 'additional', 'accessories', '.']"
466,2982,Wants information on our Internet service. Referred him to web site.,"['Wants', 'information', 'on', 'our', 'Internet', 'service', '.', 'Referred', 'him', 'to', 'web', 'site', '.']"
467,1755,"Cant believe he was stupid enough to sign a year contract. He thinks that we provide the worst service he has ever encountered. Furthermore, the phone is so shitty that he would not give it to an enemy. He now realizes you get what you pay for. I transfe","['Cant', 'believe', 'he', 'was', 'stupid', 'enough', 'to', 'sign', 'a', 'year', 'contract', '.', 'He', 'thinks', 'that', 'we', 'provide', 'the', 'worst', 'service', 'he', 'has', 'ever', 'encountered', '.', 'Furthermore', ',', 'the', 'phone', 'is', 'so', 'shitty', 'that', 'he', 'would', 'not', 'give', 'it', 'to', 'an', 'enemy', '.', 'He', 'now', 'realizes', 'you', 'get', 'what', 'you', 'pay', 'for', '.', 'I', 'transfe']"
468,285,Does not like the way the phone works. It is to difficult compared to his last phone.,"['Does', 'not', 'like', 'the', 'way', 'the', 'phone', 'works', '.', 'It', 'is', 'to', 'difficult', 'compared', 'to', 'his', 'last', 'phone', '.']"
469,3153,Hopes to get an additonal line working by the end of the week for his wife.,"['Hopes', 'to', 'get', 'an', 'additonal', 'line', 'working', 'by', 'the', 'end', 'of', 'the', 'week', 'for', 'his', 'wife', '.']"
470,575,He expected significantly better Technical Support.,"['He', 'expected', 'significantly', 'better', 'Technical', 'Support', '.']"
471,1710,Asking for a change of address and wants to switch plans. Transeffered him to customer care.,"['Asking', 'for', 'a', 'change', 'of', 'address', 'and', 'wants', 'to', 'switch', 'plans', '.', 'Transeffered', 'him', 'to', 'customer', 'care', '.']"
472,3710,Wants to add another phone. Contacting provisioning.,"['Wants', 'to', 'add', 'another', 'phone', '.', 'Contacting', 'provisioning', '.']"
473,386,Wants to change address.,"['Wants', 'to', 'change', 'address', '.']"
474,2632,Needed help figuring out his bill. I explained our minute charges.,"['Needed', 'help', 'figuring', 'out', 'his', 'bill', '.', 'I', 'explained', 'our', 'minute', 'charges', '.']"
475,3105,Wants to change address.,"['Wants', 'to', 'change', 'address', '.']"
476,1382,Wanted a different rate plan which included roll over minutes. He claims that we are not as competitive as other companies.,"['Wanted', 'a', 'different', 'rate', 'plan', 'which', 'included', 'roll', 'over', 'minutes', '.', 'He', 'claims', 'that', 'we', 'are', 'not', 'as', 'competitive', 'as', 'other', 'companies', '.']"
477,182,Did not want to wait for us to implement GSM.,"['Did', 'not', 'want', 'to', 'wait', 'for', 'us', 'to', 'implement', 'GSM', '.']"
478,444,Wants to change rate plans to get family all on same bill. I transferred him to customer care.,"['Wants', 'to', 'change', 'rate', 'plans', 'to', 'get', 'family', 'all', 'on', 'same', 'bill', '.', 'I', 'transferred', 'him', 'to', 'customer', 'care', '.']"
479,2724,Wants a new faceplate.,"['Wants', 'a', 'new', 'faceplate', '.']"
480,1887,"He called and said someone stole his phone last week, but he did not notice until today. He does not want to pay for any calls made during the last week. I switched him to the supervisor after telling him our policy.","['He', 'called', 'and', 'said', 'someone', 'stole', 'his', 'phone', 'last', 'week', ',', 'but', 'he', 'did', 'not', 'notice', 'until', 'today', '.', 'He', 'does', 'not', 'want', 'to', 'pay', 'for', 'any', 'calls', 'made', 'during', 'the', 'last', 'week', '.', 'I', 'switched', 'him', 'to', 'the', 'supervisor', 'after', 'telling', 'him', 'our', 'policy', '.']"
481,62,"He says that his phone works fine when using it in the car with the adapter, but the battery performance sucks.","['He', 'says', 'that', 'his', 'phone', 'works', 'fine', 'when', 'using', 'it', 'in', 'the', 'car', 'with', 'the', 'adapter', ',', 'but', 'the', 'battery', 'performance', 'sucks', '.']"
482,3571,Needs help learning how to use the phone. I suggested he go back to the store and have the rep teach him.,"['Needs', 'help', 'learning', 'how', 'to', 'use', 'the', 'phone', '.', 'I', 'suggested', 'he', 'go', 'back', 'to', 'the', 'store', 'and', 'have', 'the', 'rep', 'teach', 'him', '.']"
483,1623,He expected significantly better Technical Support.,"['He', 'expected', 'significantly', 'better', 'Technical', 'Support', '.']"
